富裕,富有
温家宝,***
泛蓝 ,***
泛绿 ,***
饭岛爱,***
方励之,***
温元凯,***
反人类,***
反社会,***
钓鱼岛,***
消防队,***
学自联,***
封从德,***
丁关根,***
冯素英,***
方舟子,***
冯东海,***
慰安妇,***
斐得勒,***
魏京生,***
费良勇,***
分家在,***
王希哲,***
王小宁,***
丁子霖,***
王秀丽,***
封锁 ,***
洪哲胜,***
王冶坪,***
王瑞林,***
台湾狗,***
贾育台,***
唐柏桥,***
乖乖粉,***
傅申奇,***
傅怡彬,***
傅志寰,***
贾庆林,***
高文谦,***
苏家屯,***
高自联,***
王力雄,***
绝版 ,***
大纪园,***
红灯区,***
共铲党,***
付申奇,***
关卓中,***
王润生,***
黑社会,***
王辅臣,***
胡紧掏,***
胡锦涛,***
胡锦滔,***
胡锦淘,***
胡景涛,***
华建敏,***
贾廷安,***
黄慈萍,***
王军涛,***
汤光中,***
何德普,***
台湾版,***
悔过书,***
苏晓康,***
姬胜德,***
积克馆,***
苏绍智,***
天安门,***
江泽民,***
邵家健,***
罗永忠,***
江猪媳,***
綦彦臣,***
罗礼诗,***
江折民,***
江戏子,***
卖国 ,***
迷幻药,***
江主席,***
江则民,***
钱国梁,***
抢粮记,***
江绵恒,***
窃听器,***
江贼民,***
上海帮,***
林慎立,***
盛华仁,***
教养院,***
连胜德,***
任自元,***
梁光烈,***
蒲团 ,***
梁擎墩,***
罗长福,***
廖锡龙,***
林保华,***
林彪 ,***
林长盛,***
民主墙,***
猛插 ,***
蒙汗药,***
反政府,***
法轮功,***
麻醉药,***
毛－鲜,***
黎阳评,***
监听王,***
戴海静,***
江流氓,***
迷奸药,***
姜春云,***
成人片,***
共产党,***
管理员,***
杨怀安,***
项小吉,***
春宫图,***
张小平,***
三唑仑,***
建国党,***
钦本立,***
钱其琛,***
潘国平,***
江泽慧,***
麻醉枪,***
吕京花,***
陆委会,***
欧阳懿,***
将则民,***
吕秀莲,***
马大维,***
氯胺酮,***
龙虎豹,***
乱交 ,***
江八点,***
僵贼民,***
程铁军,***
明思网,***
小泽园,***
新语丝,***
陈宣良,***
陈一谘,***
陈总统,***
杨建利,***
性虐待,***
李洪志,***
迟浩田,***
杨月清,***
陈破空,***
揭批书,***
女优 ,***
明慧网,***
成人区,***
长濑爱,***
陈希同,***
第四代,***
蔡崇国,***
蔡陆军,***
曹长青,***
项怀诚,***
新唐人,***
插插 ,***
陈小同,***
朝河兰,***
邓笑贫,***
陈炳基,***
邓小平,***
戴相龙,***
司法部,***
曹刚川,***
兽交 ,***
六合采,***
酱猪媳,***
李洪宽,***
劳教 ,***
黎安友,***
李大师,***
李登辉,***
双十节,***
民进党,***
迷奸水,***
明心网,***
陈秋兰,***
倪育贤,***
女女 ,***
你妈逼,***
六合彩,***
蒋世华,***
李红痔,***
林樵清,***
莫伟强,***
三级 ,***
迷幻液,***
金尧如,***
三级片,***
毛贼东,***
木犀地,***
热比娅,***
李宏志,***
留园网,***
人权 ,***
看中国,***
邝锦文,***
毛厕洞,***
溜麻古,***
脱衣,***
男妓,***
露胸,***
共军,***
走光,***
阴部,***
乳房,***
亮剑,***
授交,***
和谐,***
妓女,***
王刚,***
哥疼,***
锦涛,***
交警,***
多党,***
国贼,***
偷情,***
国军,***
叫床,***
接班,***
郭平,***
共匪,***
姐痛,***
鸡吧,***
广闻,***
轮攻,***
近亲,***
共狗,***
发春,***
嫩穴,***
嫩B,***
大炮,***
吞精,***
姐疼,***
干你,***
屙民,***
联总,***
独夫,***
炼功,***
动乱,***
东洲,***
东社,***
多维,***
口交,***
俄国,***
干她,***
抗议,***
空难,***
盛雪,***
腐败,***
升天,***
肛门,***
捅我,***
发愣,***
法论,***
禁书,***
春药,***
反华,***
昏药,***
鬼村,***
退党,***
淫糜,***
连发,***
网特,***
特码,***
法轮,***
法沦,***
法伦,***
发论,***
发轮,***
发沦,***
发伦,***
反攻,***
李鹏,***
何山,***
洪吟,***
护法,***
统战,***
捅你,***
母子,***
胡平,***
沈彤,***
疆独,***
僵贼,***
洪智,***
色狼,***
水扁,***
童屹,***
洪传,***
宏法,***
红智,***
红志,***
偷窥,***
爽死,***
偷拍,***
讲法,***
私处,***
达赖,***
菱恝,***
干他,***
林海,***
师父,***
西藏,***
凌锋,***
弟子,***
弟痛,***
吸储,***
凌辱,***
露点,***
下体,***
色友,***
底裤,***
流亡,***
登辉,***
荡妇,***
弹劾,***
六四,***
洪志,***
弟疼,***
经文,***
河殇,***
睾丸,***
何勇,***
秦晋,***
精液,***
警察,***
九评,***
蛤蟆,***
石戈,***
交班,***
哥痛,***
天葬,***
戈扬,***
公款,***
师涛,***
高瞻,***
卡通,***
开苞,***
高官,***
高干,***
高潮,***
鸽派,***
护士,***
小穴,***
台盟,***
假币,***
丝袜,***
斯诺,***
极景,***
税力,***
激情,***
基督,***
鸡巴,***
江青,***
肛交,***
台独,***
统独,***
黄翔,***
江贼,***
唐捷,***
唐子,***
江猪,***
换妻,***
天怒,***
江罗,***
真相,***
张健,***
张林,***
内射,***
庆红,***
群射,***
则民,***
赵南,***
虐杀,***
赵岩,***
罗干,***
群交,***
贼民,***
真象,***
喷精,***
闹事,***
妹疼,***
冰毒,***
波霸,***
博讯,***
潮吹,***
迫害,***
哲民,***
自摸,***
援交,***
专政,***
祁建,***
A级,***
喷尿,***
钱达,***
镇压,***
强歼,***
窃听,***
内裤,***
亲美,***
张钢,***
自拍,***
自慰,***
作爱,***
做爱,***
齐墨,***
虐待,***
民警,***
泽民,***
K粉,***
程真,***
自焚,***
杨巍,***
性爱,***
臭作,***
暴乱,***
暴政,***
薄格,***
暴动,***
婊子,***
鲍彤,***
赤化,***
麻果,***
赤匪,***
陈军,***
被逼,***
猫肉,***
论攻,***
被虐,***
被迫,***
肉棍,***
论功,***
变态,***
轮功,***
北韩,***
插她,***
肉欲,***
阳具,***
藏独,***
蒙独,***
三唑,***
陈蒙,***
性交,***
妹痛,***
麻衣,***
暴干,***
程凯,***
杨周,***
插你,***
城管,***
插他,***
插我,***
学潮,***
柴玲,***
麻古,***
常劲,***
妈个,***
屁眼,***
颜射,***
轮公,***
阴户,***
抡功,***
露毛,***
吹萧,***
伦功,***
伦攻,***
沦公,***
沦功,***
邪恶,***
轮大,***
打倒,***
共党,***
禁看,***
共产,***
功法,***
龟头,***
破处,***
鲍戈,***
射精,***
阴蒂,***
沦攻,***
文革,***
老江,***
口技,***
老毛,***
风花,***
狂干,***
分裂,***
捆绑,***
少妇,***
大史,***
劳改,***
阴道,***
封杀,***
伦公,***
丁元,***
大麻,***
更衣,***
大法,***
乱伦,***
肖强,***
打炮,***
调教,***
论公,***
樱井,***
白梦,***
迷药,***
肉棒,***
巴赫,***
八老,***
八九,***
阴唇,***
一党,***
择民,***
迷奸,***
伊东,***
肉洞,***
义解,***
大片,***
亦凡,***
民联,***
民意,***
密穴,***
情妇,***
造爱,***
情色,***
郑义,***
民国,***
阴门,***
明慧,***
游行,***
幼齿,***
应招,***
民阵,***
阴茎,***
民运,***
阴囊,***
幼交,***
阴毛,***
诱惑,***
舆论,***
岳武,***
民主,***
绵恒,***
保钓,***
民猪,***
奸,***
裸,***
穴,***
嫖,***
淫,***
持久,长久
注视,凝视
珍惜,爱惜
祖宗,祖先
即将,将要
快乐,高兴
犹如,仿佛
喜欢,喜爱
陋习,陋俗
思念,想念
装扮,打扮
平整,平坦
愿意,乐意
忧郁,忧虑
镇定,镇静
损坏,损伤
承受,忍受
突然,骤然
得意,开心
心思,想法
透明,晶莹
奇怪,奇迹
精彩,出色
如果,假设
果然,果真
刨根问底,追根究底
观赏,欣赏
闪耀,闪烁
格外,分外
由衷,衷心
智慧,才干
开导,劝导
废除,取消
担心,害怕
生机,生气
衰老,衰弱
出现,显现
美丽,漂亮
降临,来临
俊俏,俊秀
吹奏,演奏
警觉,警惕
洪亮,响亮
欺负,欺辱
激烈,猛烈
勘探,勘测
抖擞,振作
本领,本事
巨大,庞大
争吵,争论
足迹,痕迹
职工,职员
呼啸,长啸
普通,一般
空闲,空暇
摧残,残害
损害,破坏
坚决,坚定
恳切,诚恳
承受,经受
发抖,颤抖
聚精会神,全神贯注
光秃秃,光溜溜
环绕,围绕
飘荡,飘浮
愉快,高兴
尽情,纵情
伙伴,同伴
悄悄地,偷偷地
突然,忽然
嚷,叫
解释,解说
理解,明白
奉献,贡献
飘零,飘落
茁壮,健壮
清澈,明澈
如同,好像
顿时,立刻
漾起,荡起
犹如,好像
硕大,巨大
格外,特别
荡舟,泛舟
有名,著名
对照,对比
神往,向往
雄伟,宏伟
蔚蓝,湛蓝
嘱咐,叮嘱
黑黝黝,黑油油
竞相开放,争相开放
保存,保留
聪明,聪明
拜访,访问
憨厚,忠厚
机灵,机智
随即,立刻
胡作非为,为非作歹
摇晃,摇摆
察看,观察
太平,平安
侵略,侵占
信心,信念
英勇,勇敢
抵抗,抵御
表示,表达
建议,提议
屈辱,耻辱
提醒,提示
建议,恳求
请求,恳求
思索,思考
清楚,清晰
随即,立即
原形,原样
查看,观察
动员,发动
带领,率领
屈辱,侮辱
表示,表明
征服,制服
流行,盛行
难过,伤心
凉爽,凉快
纵情,尽情
节俭,节约
兴奋,激动
礼物,礼品
痛苦,难过
成功,胜利
亲切,和蔼
自由自在,无忧无虑
动情,用情
闪亮,透亮
光彩熠熠,五光十色
倾听,聆听
小看,轻视
太平,安康
经常,常常
茁壮,强壮
美丽,丑陋
凉爽,闷热
愉快,痛苦
幸福,悲惨
强烈,微弱
高兴,难过
意味深长,味同嚼蜡
奉献,索取
形态各异,一模一样
清澈,浑浊
热闹,冷清
喜欢,讨厌
赞美,责备
天堂,地狱
硕大,微小
平静,动荡
典雅,庸俗
纯净,污秽
吸引,排斥
透亮,暗淡
洁白,乌黑
欢乐,痛苦
迷惑,明白
夸奖,批评
节俭,浪费
聪明,愚蠢
保存,遗失
失败,成功
侵略,保卫
战争,和平
抵抗,投降
强大,弱小
骄傲,谦虚
屈辱,光荣
答应,拒绝
痛苦,欢乐
模糊,清楚
分析,综合
软,硬
买,卖
实,虚
甘,苦
低,高
热,冷
缓慢,飞快
希望,失望
扫兴,高兴
松软,坚硬
谦虚,骄傲
结束,开始
忧郁,开朗
舒服,难受
温暖,寒冷
幸运,倒霉
痛苦,快乐
空闲,繁忙
热闹,安静
失望,希望
附近,遥远
无意,有意
犹豫,果断
勉强,坚决
诚实,虚伪
愿意,反对
热烈,冷清
永远,暂时
镇定,慌张
担心,放心
损坏,保护
得意,失落
回收,输送
自在,约束
特别,平凡
黎明,夜晚
异常,平常
清楚,模糊
衰老,年轻
勤劳,懒惰
宁静,喧闹
俊俏,丑陋
出来,进去
出现,消失
光滑,粗糙
内心,外表
糊涂,明白
著名,普通
损伤,完好
平静,吵闹
暂新,陈旧
一声不吭,滔滔不绝
进,退
推,拉
坑坑洼洼,平平整整
聚精会神,心猿意马
弱小,强大
清晰,清楚
凑近,靠近
长久,持久
凝视,注视
爱惜,珍惜
祖先,祖宗
将要,即将
高兴,快乐
仿佛,犹如
喜爱,喜欢
陋俗,陋习
想念,思念
打扮,装扮
平坦,平整
乐意,愿意
忧虑,忧郁
镇静,镇定
损伤,损坏
忍受,承受
骤然,突然
开心,得意
想法,心思
晶莹,透明
奇迹,奇怪
出色,精彩
假设,如果
果真,果然
追根究底,刨根问底
欣赏,观赏
闪烁,闪耀
分外,格外
衷心,由衷
才干,智慧
劝导,开导
取消,废除
害怕,担心
生气,生机
衰弱,衰老
显现,出现
漂亮,美丽
来临,降临
俊秀,俊俏
演奏,吹奏
警惕,警觉
响亮,洪亮
欺辱,欺负
猛烈,激烈
勘测,勘探
振作,抖擞
本事,本领
庞大,巨大
争论,争吵
痕迹,足迹
职员,职工
长啸,呼啸
一般,普通
空暇,空闲
残害,摧残
破坏,损害
坚定,坚决
诚恳,恳切
经受,承受
颤抖,发抖
全神贯注,聚精会神
光溜溜,光秃秃
围绕,环绕
飘浮,飘荡
高兴,愉快
同伴,伙伴
偷偷地,悄悄地
忽然,突然
叫,嚷
解说,解释
明白,理解
贡献,奉献
飘落,飘零
健壮,茁壮
明澈,清澈
好像,如同
立刻,顿时
荡起,漾起
好像,犹如
巨大,硕大
特别,格外
泛舟,荡舟
著名,有名
对比,对照
向往,神往
宏伟,雄伟
湛蓝,蔚蓝
叮嘱,嘱咐
黑油油,黑黝黝
争相开放,竞相开放
保留,保存
访问,拜访
忠厚,憨厚
机智,机灵
立刻,随即
为非作歹,胡作非为
摇摆,摇晃
观察,察看
平安,太平
侵占,侵略
信念,信心
勇敢,英勇
抵御,抵抗
表达,表示
提议,建议
耻辱,屈辱
提示,提醒
恳求,建议
恳求,请求
思考,思索
立即,随即
原样,原形
观察,查看
发动,动员
率领,带领
侮辱,屈辱
表明,表示
制服,征服
盛行,流行
伤心,难过
凉快,凉爽
节约,节俭
激动,兴奋
礼品,礼物
难过,痛苦
胜利,成功
和蔼,亲切
无忧无虑,自由自在
用情,动情
透亮,闪亮
五光十色,光彩熠熠
聆听,倾听
轻视,小看
安康,太平
常常,经常
强壮,茁壮
丑陋,美丽
闷热,凉爽
痛苦,愉快
悲惨,幸福
微弱,强烈
难过,高兴
味同嚼蜡,意味深长
索取,奉献
一模一样,形态各异
浑浊,清澈
冷清,热闹
讨厌,喜欢
责备,赞美
地狱,天堂
微小,硕大
动荡,平静
庸俗,典雅
污秽,纯净
排斥,吸引
暗淡,透亮
乌黑,洁白
明白,迷惑
批评,夸奖
浪费,节俭
愚蠢,聪明
遗失,保存
成功,失败
保卫,侵略
和平,战争
投降,抵抗
光荣,屈辱
拒绝,答应
综合,分析
硬,软
卖,买
虚,实
苦,甘
高,低
冷,热
飞快,缓慢
高兴,扫兴
坚硬,松软
开始,结束
开朗,忧郁
难受,舒服
寒冷,温暖
倒霉,幸运
快乐,痛苦
繁忙,空闲
安静,热闹
遥远,附近
有意,无意
果断,犹豫
坚决,勉强
虚伪,诚实
反对,愿意
冷清,热烈
暂时,永远
慌张,镇定
放心,担心
保护,损坏
失落,得意
输送,回收
约束,自在
平凡,特别
夜晚,黎明
平常,异常
年轻,衰老
懒惰,勤劳
喧闹,宁静
丑陋,俊俏
进去,出来
消失,出现
粗糙,光滑
外表,内心
明白,糊涂
普通,著名
完好,损伤
吵闹,平静
陈旧,暂新
滔滔不绝,一声不吭
退,进
拉,推
平平整整,坑坑洼洼
心猿意马,聚精会神
靠近,凑近
阿谀,谄媚
谄谀,逢迎
奉承,恭维
讨好,谄谀
哀告,央告
哀号,哀鸣
哀求,恳求
请求,央求
要求,请求
挨次,顺次
依次,挨次
爱戴,感戴
爱好,癖好
嗜好,喜好
爱护,爱惜
爱慕,倾慕
羡慕,艳羡
暧昧,暗昧
安定,安宁
安顿,安放
安排,安置
安静,宁静
平静,安静
安眠,安息
安全,平安
安然,坦然
安适,安闲
安逸,悠闲
安慰,抚慰
宽慰,安慰
安稳,平稳
安心,放心
安葬,埋葬
按捺,克制
抑制,按捺
按照,依照
遵循,遵照
暗暗,悄悄
偷偷,暗暗
暗藏,躲藏
潜藏,隐蔽
隐藏,暗藏
暗淡,昏暗
暗害,暗杀
暗算,暗害
暗影,阴影
肮脏,恶浊
邋遢,龌龊
昂扬,高昂
熬煎,折磨
翱翔,飞舞
飞翔,飞行
鏖战,激战
傲慢,高傲
奥秘,机密
绝密,秘密
奥妙,微妙
玄妙,奥妙
懊悔,忏悔
反悔,后悔
懊恼,烦闷
烦恼,懊恼
巴不得,恨不得
巴结,趋奉
趋附,巴结
跋扈,专横
把持,操纵
垄断,掌管
掌握,把持
把守,扼守
把玩,赏玩
把戏,花招
罢了,而已
罢免,撤职
免职,罢免
罢休,甘休
霸占,强占
白费,空费
枉费,白费
白净,白皙
摆设,陈列
陈设,罗列
摆脱,挣脱
败兴,绝望
扫兴,失望
造访,走访
拜服,佩服
信服,拜服
拜会,拜见
拜谒,拜会
拜望,看望
探访,探望
颁布,发布
公布,宣布
宣告,颁布
斑白,花白
斑驳,斑斓
疆域,版图
版图,幅员
办法,措施
法子,方法
方式,办法
办理,操持
半夜,夜半
伴随,伴同
随从,随同
扮演,串演
帮忙,帮助
协助,帮忙
帮凶,鹰犬
爪牙,走狗
走卒,帮凶
榜样,标兵
表率,楷模
模范,榜样
傍晚,薄暮
黄昏,傍晚
包办,包揽
包庇,庇护
偏袒,袒护
包抄,包围
包袱,包裹
负担,累赘
包含,包括
包罗,包孕
蕴涵,包含
褒奖,嘉奖
奖励,奖赏
薄弱,脆弱
单薄,菲薄
软弱,微薄
饱尝,饱受
饱满,丰满
宝贵,名贵
珍贵,宝贵
保藏,收藏
珍藏,保藏
保持,坚持
维持,保持
保护,维护
掩护,保护
保举,举荐
推荐,推举
推选,引荐
保卫,捍卫
守护,守卫
保养,颐养
保重,珍重
报仇,报复
报答,酬报
报到,签到
抱负,理想
梦想,抱负
抱憾,抱愧
抱歉,负疚
抱怨,埋怨
暴发,爆发
暴露,裸露
袒露,显露
暴乱,叛乱
造反,暴乱
暴虐,残暴
残酷,残忍
暴徒,歹徒
卑鄙,卑劣
低劣,拙劣
卑贱,卑下
低贱,卑贱
卑微,低微
微贱,卑微
悲哀,悲伤
悲恸,悲痛
沉痛,悲哀
悲惨,悲苦
悲凉,凄惨
凄凉,凄切
背景,布景
背静,僻静
背叛,反叛
反水,叛变
奔波,奔忙
奔走,奔波
奔驰,奔跑
奔腾,驰骋
本来,原本
原来,原先
本色,本质
实质,本色
本身,自身
本相,原形
真相,本相
本性,天性
笨拙,蒙昧
愚笨,愚蠢
愚昧,笨拙
崩溃,分化
解体,瓦解
逼近,贴近
逼迫,强迫
强制,胁迫
逼真,真切
比方,比喻
比较,比拟
较为,比较
比如,例如
譬如,比如
比赛,竞赛
比试,较量
笔触,笔调
笔挺,笔直
鄙薄,鄙视
鄙夷,鄙薄
鄙弃,唾弃
必得,务必
必定,必然
特定,一定
必须,必需
必要,必须
毕竟,究竟
毕生,一生
终身,终生
碧绿,翠绿
墨绿,碧绿
弊病,弊端
避讳,忌讳
边陲,边疆
边境,边陲
边际,边沿
边缘,边际
编辑,编写
编纂,编辑
编造,臆造
鞭策,督促
鞭笞,鞭打
鞭挞,鞭笞
变革,变更
变化,变迁
变故,变节
变幻,变换
变通,通融
便当,简便
便利,方便
便宜,低廉
廉价,便宜
遍及,普及
辨别,辨认
鉴别,识别
甄别,辨别
辩白,辩驳
辩护,辩解
分辩,分说
辩论,争辩
争论,争执
标记,标志
标题,题目
标致,好看
标准,尺度
表示,表现
体现,表示
表演,上演
演出,表演
表扬,表彰
别号,别名
绰号,别号
摈弃,抛弃
扬弃,遗弃
冰冷,冰凉
兵器,武器
秉承,承受
禀赋,天分
天赋,天资
并且,而且
拨弄,教唆
煽动,怂恿
唆使,挑拨
挑唆,拨弄
波澜,波浪
波涛,波澜
波折,挫折
剥削,盘剥
驳斥,痛斥
博得,赢得
搏斗,格斗
角斗,肉搏
补偿,补充
弥补,填补
补贴,补助
贴补,补贴
捕获,捕捉
逮捕,拘捕
哺养,哺育
扶养,抚养
抚育,教养
不必,无须
不单,不但
不得已,无奈
不管,不论
无论,不管
不禁,不觉
不由得,不禁
不满,怨恨
不免,难免
不然,否则
不外,无非
布告,公告
布署,布置
部署,布署
步调,步伐
部队,军队
部分,局部
部件,零件
擦拭,拂拭
猜测,推测
猜忌,猜疑
怀疑,猜忌
猜想,假想
想象,猜想
才干,才华
才能,才气
才智,能力
材料,资料
财产,财富
采办,采购
采集,采撷
采掘,开采
开掘,采掘
采纳,采取
采用,采纳
菜蔬,蔬菜
参拜,参谒
参加,参与
加入,参加
参军,从军
入伍,参军
参考,参照
参谋,顾问
残存,残剩
残余,残存
惭愧,羞惭
羞愧,惭愧
惨白,苍白
惨厉,惨烈
灿烂,璀璨
绚烂,灿烂
仓促,仓皇
苍翠,苍郁
苍茫,苍莽
操行,品行
操劳,操心
费神,费心
劳神,操劳
操练,操演
演习,操练
草草,草率
轻率,随便
随意,草草
草稿,初稿
侧重,偏重
着重,侧重
测验,考试
策动,策划
策略,方略
政策,策略
查访,察访
查封,封闭
封锁,查封
查问,审问
察觉,觉察
察看,观测
观察,视察
差别,差异
差错,过错
过失,差错
差遣,打发
搀和,搀杂
夹杂,搀和
缠绵,绸缪
产生,发生
铲除,革除
根除,剪除
阐明,解释
说明,阐明
阐述,论述
颤动,颤抖
哆嗦,发抖
昌明,昌盛
猖獗,猖狂
疯狂,猖獗
常规,惯例
通例,常规
偿还,归还
退还,偿还
场合,场所
怅惘,惘然
畅快,痛快
畅通,通畅
倡导,提倡
倡议,创议
抄录,抄写
缮写,抄录
抄袭,剽窃
超出,超越
跨越,越过
超群,出众
朝见,朝觐
朝气,活力
活气,生机
朝阳,旭日
嘲讽,嘲弄
嘲笑,耻笑
讥笑,嘲笑
潮湿,湿润
撤换,撤消
取缔,取消
撤退,退却
臣服,降服
屈从,屈服
沉寂,沉静
寂静,沉寂
沉沦,沉湎
沉溺,沉沦
沉闷,沉郁
沉默,缄默
默然,沉默
沉思,深思
寻思,沉思
沉着,从容
冷静,镇定
镇静,沉着
沉重,繁重
沉醉,陶醉
陈腐,陈旧
迂腐,陈腐
陈规,成规
陈述,陈说
述说,叙述
晨光,晨曦
衬托,烘托
陪衬,衬托
称霸,称雄
称道,称誉
称呼,称谓
称颂,称赞
夸奖,赞美
赞赏,赞颂
赞扬,称颂
称心,顺心
如意,称心
成果,结果
效果,成果
成绩,成就
修养,造诣
成见,偏见
呈递,呈交
呈现,出现
浮现,显现
涌现,展现
诚恳,诚心
恳切,殷切
诚然,的确
诚实,老实
诚挚,热诚
真诚,真挚
承担,承当
承诺,许诺
允诺,承诺
乘机,伺机
程度,水平
程序,次序
顺序,秩序
惩办,惩罚
处罚,处分
驰名,驰誉
迟缓,缓慢
迟延,延迟
迟疑,踌躇
犹豫,游移
迟早,早晚
持续,断续
继续,连续
陆续,持续
持重,稳健
稳重,庄重
耻辱,赤诚
羞辱,耻辱
叱骂,斥骂
责骂,叱骂
叱责,斥责
责备,责怪
指斥,指责
指摘,叱责
赤忱,赤心
丹心,赤忱
炽烈,炽热
灼热,炽烈
冲动,打动
感动,激昂
激动,冲动
冲刷,冲洗
充斥,充满
充溢,充斥
充当,充任
充分,充沛
充实,充裕
充足,充分
憧憬,神往
向往,憧憬
崇拜,崇敬
崇高,高贵
高尚,崇高
宠爱,溺爱
抽泣,抽咽
抽噎,啜泣
仇敌,寇仇
仇恨,痛恨
冤仇,憎恨
仇人,敌人
仇视,敌视
酬劳,酬谢
稠密,茂密
浓密,稠密
愁苦,愁闷
忧郁,郁闷
筹办,筹备
筹措,筹办
筹划,谋划
丑恶,丑陋
出产,生产
出处,发源
来源,滥觞
起源,出处
出发,动身
启程,起程
出路,活路
前程,前途
出卖,出售
出色,杰出
出身,出生
诞生,出身
出神,凝神
出世,降生
储备,储存
储藏,埋藏
蕴藏,储藏
处处,到处
处理,处置
处所,地方
触犯,得罪
冒犯,触犯
矗立,高耸
耸立,挺拔
挺立,屹立
揣摩,琢磨
川资,旅费
穿着,衣着
传播,传布
传达,转达
传染,感染
沾染,传染
传授,教授
传诵,传扬
传闻,风闻
创办,创建
创立,开办
创始,独创
开创,首创
创造,发觉
发明,发现
制造,制作
吹捧,吹嘘
垂死,垂危
锤炼,锻炼
磨练,磨炼
纯粹,纯正
纯洁,纯净
纯熟,娴熟
纯真,纯挚
唇舌,言辞
淳厚,淳朴
质朴,淳厚
戳穿,检举
揭穿,揭发
揭露,戳穿
辞别,辞行
辞退,解雇
慈爱,慈祥
慈悲,慈善
此外,另外
刺探,侦查
侦察,侦探
匆匆,匆促
匆忙,匆匆
葱茏,葱郁
聪慧,聪明
聪颖,伶俐
从而,进而
从来,历来
向来,从来
从前,过去
以前,从前
从事,进行
从属,附属
隶属,从属
从新,重新
凑合,将就
凑集,汇集
纠集,聚集
粗暴,粗鲁
粗野,粗暴
粗鄙,粗俗
粗糙,毛糙
粗略,大略
简略,粗略
促进,增进
猝然,蓦然
簇新,崭新
簇拥,蜂拥
窜改,篡改
篡夺,攫取
牟取,谋取
催促,敦促
摧残,摧毁
村落,村庄
村子,村落
存放,寄存
寄放,存放
存心,精心
居心,用心
磋商,商量
商榷,商谈
商议,协商
错误,故障
毛病,缺点
缺欠,缺陷
搭档,同伴
搭救,解救
搭配,配搭
达到,到达
答对,对答
答复,回答
回复,回覆
答理,理睬
理会,答理
打倒,颠覆
打击,抨击
打量,端详
打破,突破
打扫,扫除
打算,盘算
打探,打听
探听,探问
探询,打探
打通,买通
打消,消除
消弭,打消
大胆,斗胆
勇猛,大胆
大抵,大致
大度,大量
大批,大宗
大方,慷慨
大概,大约
大伙儿,大家
大举,大力
大肆,大举
大师,巨匠
大意,马虎
大众,公众
民众,群众
呆板,呆滞
古板,凝滞
死板,呆板
代替,取代
带动,带头
怠惰,懒惰
懒散,疲塌
担当,担负
担任,肩负
担心,担忧
单纯,简单
单独,独自
单身,独身
只身,单身
单调,枯燥
耽搁,耽误
延误,耽搁
胆略,胆识
胆怯,害怕
惧怕,恐惧
畏惧,畏怯
诞辰,生日
寿辰,诞辰
淡薄,淡漠
淡泊,恬淡
淡雅,素净
素雅,淡雅
弹指,转眼
当初,当时
当前,目前
眼前,当前
当然,天然
自然,当然
当头,临头
当心,警戒
小心,当心
当选,人选
当中,核心
中心,中央
捣蛋,捣鬼
捣乱,干扰
扰乱,捣蛋
倒换,掉换
祷告,祈祷
到底,终归
终究,终于
盗匪,盗贼
盗窃,偷盗
偷窃,盗窃
悼念,吊唁
缅怀,悼念
道德,公德
道贺,道喜
恭喜,贺喜
道理,情理
真谛,真理
道路,途径
得到,获得
得悉,得知
获悉,得悉
得益,受益
得意,惬意
等待,等候
恭候,期待
等同,雷同
相同,等同
低沉,消沉
消极,低沉
低级,俗气
庸俗,低级
敌手,对手
诋毁,诽谤
毁谤,诬告
诬蔑,诬陷
抵偿,赔偿
抵触,抵牾
矛盾,抵触
抵挡,招架
抵制,防御
抵消,对消
底本,脚本
蓝本,底本
底细,内幕
内情,底细
地步,境地
田地,田野
原野,地步
地带,地区
地域,地带
地点,地址
地位,位置
位子,地位
弟兄,兄弟
谛听,聆听
凝听,倾听
缔结,订立
签订,签署
典范,典型
范例,典范
点缀,装点
玷辱,玷污
惦记,惦念
挂念,牵挂
刁滑,滑头
狡狯,狡黠
凋敝,衰败
凋零,凋落
凋谢,凋零
雕刻,雕琢
钓饵,诱饵
掉队,后进
落后,落伍
丁宁,叮嘱
嘱咐,丁宁
顶撞,顶嘴
鼎沸,沸腾
定额,定量
丢掉,丢失
东边,东方
东西,物品
懂得,理解
了解,懂得
动乱,骚乱
动怒,发火
发怒,动怒
动人,动听
感人,动人
动态,动向
动摇,摇动
发起,动员
动作,举措
举动,动作
洞察,洞悉
恫吓,恐吓
威吓,吓唬
抖擞,振奋
陡峭,峻峭
斗争,奋斗
争斗,斗争
逗留,盘桓
逗引,挑逗
毒辣,恶毒
恶劣,狠毒
独霸,独揽
独裁,专权
专制,独裁
独断,专断
独特,奇特
奇异,独特
渎职,失职
赌气,负气
怄气,生气
赌咒,发誓
起誓,赌咒
短促,短暂
短缺,欠缺
缺乏,缺少
断绝,隔绝
断送,葬送
队列,队伍
对待,看待
对付,敷衍
搪塞,应付
对抗,反抗
抗衡,顽抗
对垒,对立
对峙,对垒
对于,关于
对证,对质
顿时,即刻
遁词,托词
多么,何等
多余,过剩
夺得,取得
夺取,获取
躲避,回避
逃避,躲避
躲懒,偷懒
堕落,腐化
蜕化,堕落
讹诈,勒索
欺诈,敲诈
扼杀,抹杀
扼要,简明
简要,扼要
恶果,后果
恶化,逆转
遏抑,遏止
遏制,遏抑
恩德,恩典
恩惠,恩情
儿女,子女
儿童,孩子
而后,尔后
嗣后,而后
